Z^2;;;p-value;;;
0;;;> 0.50;;;
0,591602785;0,4418;;0,442;;;
0,591861991;0,4417;;0,442;;;
0,592121288;0,4416;;0,442;;;
0,592380675;0,4415;;0,442;;;
0,592640153;0,4414;;0,441;;;
0,592899721;0,4413;;0,441;;;
0,59315938;0,4412;;0,441;;;
0,593419129;0,4411;;0,441;;;
0,593678969;0,441;;0,441;;;
0,593938899;0,4409;;0,441;;;
0,594198921;0,4408;;0,441;;;
0,594459033;0,4407;;0,441;;;
0,594719235;0,4406;;0,441;;;
0,594979529;0,4405;;0,441;;;
0,595239913;0,4404;;0,440;;;
0,595500388;0,4403;;0,440;;;
0,595760954;0,4402;;0,440;;;
0,596021612;0,4401;;0,440;;;
0,59628236;0,44;;0,440;;;
0,596543199;0,4399;;0,440;;;
0,596804129;0,4398;;0,440;;;
0,59706515;0,4397;;0,440;;;
0,597326263;0,4396;;0,440;;;
0,597587467;0,4395;;0,440;;;
0,597848762;0,4394;;0,439;;;
0,598110148;0,4393;;0,439;;;
0,598371625;0,4392;;0,439;;;
0,598633194;0,4391;;0,439;;;
0,598894854;0,439;;0,439;;;
0,599156606;0,4389;;0,439;;;
0,599418449;0,4388;;0,439;;;
0,599680384;0,4387;;0,439;;;
0,59994241;0,4386;;0,439;;;
0,600204528;0,4385;;0,439;;;
0,600466737;0,4384;;0,438;;;
0,600729038;0,4383;;0,438;;;
0,600991431;0,4382;;0,438;;;
0,601253915;0,4381;;0,438;;;
0,601516492;0,438;;0,438;;;
0,60177916;0,4379;;0,438;;;
0,60204192;0,4378;;0,438;;;
0,602304771;0,4377;;0,438;;;
0,602567715;0,4376;;0,438;;;
0,602830751;0,4375;;0,438;;;
0,603093879;0,4374;;0,437;;;
0,603357098;0,4373;;0,437;;;
0,60362041;0,4372;;0,437;;;
0,603883814;0,4371;;0,437;;;
0,60414731;0,437;;0,437;;;
0,604410899;0,4369;;0,437;;;
0,604674579;0,4368;;0,437;;;
0,604938352;0,4367;;0,437;;;
0,605202218;0,4366;;0,437;;;
0,605466175;0,4365;;0,437;;;
0,605730225;0,4364;;0,436;;;
0,605994368;0,4363;;0,436;;;
0,606258603;0,4362;;0,436;;;
0,60652293;0,4361;;0,436;;;
0,60678735;0,436;;0,436;;;
0,607051863;0,4359;;0,436;;;
0,607316468;0,4358;;0,436;;;
0,607581166;0,4357;;0,436;;;
0,607845957;0,4356;;0,436;;;
0,60811084;0,4355;;0,436;;;
0,608375816;0,4354;;0,435;;;
0,608640885;0,4353;;0,435;;;
0,608906047;0,4352;;0,435;;;
0,609171302;0,4351;;0,435;;;
0,60943665;0,435;;0,435;;;
0,609702091;0,4349;;0,435;;;
0,609967625;0,4348;;0,435;;;
0,610233252;0,4347;;0,435;;;
0,610498972;0,4346;;0,435;;;
0,610764785;0,4345;;0,435;;;
0,611030692;0,4344;;0,434;;;
0,611296692;0,4343;;0,434;;;
0,611562785;0,4342;;0,434;;;
0,611828971;0,4341;;0,434;;;
0,612095251;0,434;;0,434;;;
0,612361624;0,4339;;0,434;;;
0,61262809;0,4338;;0,434;;;
0,61289465;0,4337;;0,434;;;
0,613161304;0,4336;;0,434;;;
0,613428051;0,4335;;0,434;;;
0,613694892;0,4334;;0,433;;;
0,613961826;0,4333;;0,433;;;
0,614228854;0,4332;;0,433;;;
